City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Herborn,DE,2022-01-21 21:08:51,50.6833,8.3167,38.86,96,100,5.99
91,East London,ZA,2022-01-21 21:08:51,-33.0153,27.9116,74.59,84,7,11.61
92,Whitianga,NZ,2022-01-21 21:08:51,-36.8333,175.7,69.53,63,37,7.27
93,Bilibino,RU,2022-01-21 21:08:52,68.0546,166.4372,-33.63,84,4,1.72
94,Berlevag,NO,2022-01-21 21:04:46,70.8578,29.0864,21.2,68,100,10.22
95,New Norfolk,AU,2022-01-21 21:08:52,-42.7826,147.0587,64.76,67,0,2.8
96,Rawson,AR,2022-01-21 21:08:52,-43.3002,-65.1023,80.31,26,0,17.11
97,Sao Felix Do Xingu,BR,2022-01-21 21:04:36,-6.6447,-51.995,82.04,78,68,3.24
98,Sangin,AF,2022-01-21 21:08:53,32.0728,64.8359,38.84,71,20,9.89
99,Bundaberg,AU,2022-01-21 21:08:53,-24.85,152.35,74.21,76,65,5.01
100,Clarksburg,US,2022-01-21 21:08:53,39.2807,-80.3445,22.93,53,0,10.36
101,Cabo San Lucas,MX,2022-01-21 20:57:37,22.8909,-109.9124,79.52,49,2,5.99
102,Sabha,LY,2022-01-21 21:08:54,27.0377,14.4283,52.18,43,36,7.63
103,Caravelas,BR,2022-01-21 21:08:54,-17.7125,-39.2481,79.05,78,25,8.63
104,Horsham,GB,2022-01-21 21:08:54,51.064,-0.3272,41.25,80,75,4.61
105,Sindor,RU,2022-01-21 21:08:55,62.8629,51.8905,12.36,96,100,6.06
106,Kargasok,RU,2022-01-21 21:08:55,59.0556,80.8572,10.11,95,100,6.51
107,Buala,SB,2022-01-21 21:08:55,-8.145,159.5921,81.72,82,100,6.96
108,Broome,US,2022-01-21 21:08:55,42.2506,-75.833,17.6,51,0,5.99
109,Esperance,AU,2022-01-21 21:08:56,-33.8667,121.9,66.04,82,95,7.09
110,Itarema,BR,2022-01-21 21:08:56,-2.9248,-39.9167,81.05,74,35,13.51
111,Puerto Ayora,EC,2022-01-21 21:08:56,-0.7393,-90.3518,82.36,79,45,8.16
112,Ixtapa,MX,2022-01-21 21:08:57,20.7,-105.2,79.83,61,75,2.3
113,Nioro,GM,2022-01-21 21:08:57,13.35,-15.75,84.0,15,99,6.71
114,Pareora,NZ,2022-01-21 21:08:57,-44.4871,171.2132,65.17,85,5,5.95
115,Belmonte,BR,2022-01-21 21:03:26,-15.8631,-38.8828,81.1,76,17,10.74
116,Padang,ID,2022-01-21 21:04:39,-0.9492,100.3543,76.55,87,99,4.56
117,Norman Wells,CA,2022-01-21 21:08:58,65.282,-126.8329,-19.97,95,87,6.06
118,Puerto Escondido,MX,2022-01-21 21:08:58,15.85,-97.0667,83.23,65,20,6.91
119,Los Llanos De Aridane,ES,2022-01-21 21:08:58,28.6585,-17.9182,60.55,85,20,5.01
120,Verkhnyaya Toyma,RU,2022-01-21 21:08:59,62.2349,44.9985,17.4,95,100,6.13
121,Tiksi,RU,2022-01-21 21:08:59,71.6872,128.8694,-5.04,88,100,9.26
122,Cap Malheureux,MU,2022-01-21 21:08:59,-19.9842,57.6142,81.46,88,21,8.99
123,Ubauro,PK,2022-01-21 21:08:14,28.1652,69.7289,56.89,68,0,14.43
124,Jiaozuo,CN,2022-01-21 21:09:00,35.2397,113.2331,28.17,97,97,2.8
125,Faya,SA,2022-01-21 21:09:00,18.3851,42.4509,52.32,82,48,4.14
126,Carora,VE,2022-01-21 21:09:00,10.1755,-70.0827,93.11,27,49,14.27
127,Ust-Kulom,RU,2022-01-21 21:09:01,61.6864,53.6902,4.96,98,100,4.05
128,Leua,SK,2022-01-21 21:09:01,48.2156,18.6071,31.1,67,12,16.22
129,Ribeira Grande,PT,2022-01-21 21:09:01,38.5167,-28.7,61.2,77,20,11.5
130,Chokurdakh,RU,2022-01-21 21:02:15,70.6333,147.9167,-40.54,100,95,5.23
131,Airai,TL,2022-01-21 21:09:02,-8.9266,125.4092,59.85,92,98,2.64
132,Mbandaka,CD,2022-01-21 21:09:02,0.0487,18.2603,77.11,64,88,4.27
133,Bentiu,SS,2022-01-21 21:10:02,9.2333,29.8333,74.5,21,100,5.12
134,Gao,ML,2022-01-21 21:10:03,16.6362,1.637,62.42,17,1,11.68
135,Hirara,JP,2022-01-21 21:10:03,24.8,125.2833,67.57,70,100,18.16
136,Hamilton,US,2022-01-21 21:10:03,39.1834,-84.5333,27.45,55,0,3.0
137,Benito Juarez,MX,2022-01-21 21:10:04,19.385,-99.165,67.84,31,75,1.99
138,Pustoshka,RU,2022-01-21 21:10:04,56.3355,29.369,19.6,95,95,7.4
139,Salalah,OM,2022-01-21 21:10:04,17.0151,54.0924,73.49,27,32,29.93
140,Ilulissat,GL,2022-01-21 21:10:05,69.2167,-51.1,8.62,72,100,19.57
141,Victoria,HK,2022-01-21 21:05:12,22.2855,114.1577,66.94,91,100,5.01
142,Oyama,JP,2022-01-21 21:10:05,36.3,139.8,36.59,44,0,3.69
143,Gogrial,SS,2022-01-21 21:10:05,8.5332,28.1004,75.07,21,30,5.03
144,Marrakesh,MA,2022-01-21 21:08:00,31.6315,-8.0083,62.67,31,40,3.44
145,Port Alfred,ZA,2022-01-21 21:10:06,-33.5906,26.891,74.91,88,15,13.65
146,Kahului,US,2022-01-21 21:10:06,20.8947,-156.47,81.66,71,40,12.66
147,Carnarvon,AU,2022-01-21 21:10:06,-24.8667,113.6333,78.87,61,55,11.5
148,Chodavaram,IN,2022-01-21 21:10:07,17.8333,82.95,67.26,58,6,3.83
149,Kobryn,BY,2022-01-21 21:10:07,52.2138,24.3564,27.0,88,100,16.98
150,Hillsboro,US,2022-01-21 21:05:07,45.5229,-122.9898,48.07,87,100,3.44
151,Ahipara,NZ,2022-01-21 21:01:56,-35.1667,173.1667,69.48,56,5,3.22
152,Beloha,MG,2022-01-21 21:03:32,-25.1667,45.05,73.0,92,95,8.23
153,Leczyca,PL,2022-01-21 21:10:07,52.0596,19.1997,30.07,89,36,16.08
154,Kamaishi,JP,2022-01-21 21:10:08,39.2667,141.8833,28.92,68,15,4.76
155,San Jose,US,2022-01-21 21:09:53,37.3394,-121.895,68.68,33,75,3.0
156,Kutum,SD,2022-01-21 21:10:08,14.2,24.6667,57.52,20,50,7.14
157,Haines Junction,CA,2022-01-21 21:10:08,60.7522,-137.5108,32.04,91,100,8.34
158,Butaritari,KI,2022-01-21 21:10:09,3.0707,172.7902,81.16,70,99,13.18
159,Bemidji,US,2022-01-21 21:10:09,47.4736,-94.8803,16.65,89,100,14.97
160,Maniitsoq,GL,2022-01-21 21:10:09,65.4167,-52.9,14.65,70,100,9.78
161,Dubai,AE,2022-01-21 21:05:34,25.2582,55.3047,64.65,52,75,9.22
162,Castro,BR,2022-01-21 21:10:10,-24.7911,-50.0119,73.9,78,41,3.76
163,Rochegda,RU,2022-01-21 21:10:10,62.8,43.25,17.73,96,100,5.01
164,Dzhebariki-Khaya,RU,2022-01-21 21:10:10,62.2167,135.8,-21.62,99,100,1.32
165,Bubaque,GW,2022-01-21 21:10:11,11.2833,-15.8333,79.18,76,87,8.86
166,Bayan,CN,2022-01-21 21:10:11,46.0833,127.4,-11.27,98,100,2.1
167,Vancouver,CA,2022-01-21 21:06:22,49.2497,-123.1193,47.23,90,100,1.99
168,Ust-Kuyga,RU,2022-01-21 21:04:37,70.0167,135.6,-31.56,95,96,7.99
169,Gainesville,US,2022-01-21 21:10:12,29.6516,-82.3248,64.71,86,100,10.36
170,Copiapo,CL,2022-01-21 21:10:12,-27.3667,-70.3333,67.69,33,1,9.26
171,Petropavl,KZ,2022-01-21 21:10:12,54.8753,69.1628,-9.85,100,14,0.67
172,Ulety,RU,2022-01-21 21:10:12,51.3572,112.4849,-6.29,100,86,1.54
173,Desaguadero,PE,2022-01-21 21:10:13,-16.5656,-69.0417,54.88,54,65,8.32
174,Luoyang,CN,2022-01-21 21:10:13,34.6836,112.4536,26.2,97,96,3.87
175,Mujiayingzi,CN,2022-01-21 21:10:14,42.1167,118.7833,13.48,56,100,2.26
176,Saldanha,ZA,2022-01-21 21:10:14,-33.0117,17.9442,69.55,71,0,9.08
177,Lorengau,PG,2022-01-21 21:10:14,-2.0226,147.2712,80.62,83,96,6.31
178,Saskylakh,RU,2022-01-21 21:10:15,71.9167,114.0833,4.42,94,100,7.74
179,Nuristan,AF,2022-01-21 21:10:15,35.3,70.8333,8.94,80,100,5.68
180,Praia Da Vitoria,PT,2022-01-21 21:11:15,38.7333,-27.0667,60.76,83,82,18.05
181,Sao Joao Da Barra,BR,2022-01-21 21:11:16,-21.6403,-41.0511,82.49,80,19,10.29
182,Constitucion,CL,2022-01-21 21:11:16,-35.3333,-72.4167,64.74,60,0,11.14
183,Saint-Leu,RE,2022-01-21 21:06:38,-21.15,55.2833,81.43,82,23,3.13
184,Avera,US,2022-01-21 21:08:54,33.194,-82.5271,35.74,79,100,10.98
185,Chicama,PE,2022-01-21 21:03:29,-7.8447,-79.1469,68.54,63,100,10.58
186,Ambilobe,MG,2022-01-21 21:11:16,-13.2,49.05,74.75,94,100,3.69
187,Ratanpur,IN,2022-01-21 21:11:17,22.3,82.1667,58.26,43,0,4.74
188,Bairiki,KI,2022-01-21 21:11:17,1.3292,172.9752,82.4,74,20,8.05
189,Cunha,BR,2022-01-21 21:11:17,-23.0744,-44.9597,68.76,95,53,5.91
190,Bima,ID,2022-01-21 21:11:18,-8.4667,118.7167,75.07,92,100,1.86
191,Zelenogorskiy,RU,2022-01-21 21:11:18,55.0333,87.0,-1.68,100,84,1.32
192,Namatanai,PG,2022-01-21 21:11:18,-3.6667,152.4333,80.76,79,100,3.58
193,Mayo,US,2022-01-21 21:11:19,38.8876,-76.5119,26.71,53,40,8.99
194,Dorchester,US,2022-01-21 21:11:19,33.1002,-80.3831,35.08,100,100,5.01
195,Dikson,RU,2022-01-21 21:11:19,73.5069,80.5464,13.95,95,100,9.86
196,Abu Zabad,SD,2022-01-21 21:11:20,12.35,29.25,63.77,16,51,13.71
197,Sfantu Gheorghe,RO,2022-01-21 21:11:20,45.8667,25.7833,21.92,95,94,6.78
198,Rorvik,NO,2022-01-21 21:11:20,64.8621,11.2373,28.51,100,75,13.8
199,Wanning,CN,2022-01-21 21:11:21,18.8003,110.3967,70.14,91,99,2.26
200,Brusyliv,UA,2022-01-21 21:11:21,50.2845,29.5263,30.31,90,100,17.54
201,Snyder,US,2022-01-21 21:11:21,32.7179,-100.9176,50.52,24,0,10.36
202,Doha,QA,2022-01-21 21:11:21,25.2867,51.5333,51.78,62,0,11.5
203,Lompoc,US,2022-01-21 21:08:11,34.6391,-120.4579,74.7,49,0,11.5
204,Poum,NC,2022-01-21 21:11:22,-20.2333,164.0167,81.77,77,43,13.0
205,Vardo,NO,2022-01-21 21:11:22,70.3705,31.1107,20.95,79,20,17.27
